detected_pump,real_pump,model,1_1,,,1_2,,,2_1,,,2_2,,,3_1,,,3_2,,,3_3,,
1,1,3,-75,-76,-74,-81,-79,-84,-90,-87,-91,,,,-62,-62,-62,-82,-82,-84,-90,-89,-105
1,1,1,-83,-81,-81,-90,-89,-105,,,,,,,-75,-76,-74,-90,-106,-120,,,
1,1,3,-73,-74,-77,-84,-85,-85,-88,-87,-88,,,,-62,-64,-64,-85,-87,-87,,,
1,1,1,-85,-83,-83,,,,,,,,,,-75,-76,-74,-106,-90,-88,,,
1,1,3,-73,-75,-73,-79,-79,-79,,,,,,,-67,-67,-67,-89,-89,-88,,,
1,1,1,-76,-74,-76,-87,-87,-86,,,,,,,-81,-80,-80,-105,-89,-89,,,
1,1,3,-71,-71,-70,-79,-80,-80,,,,,,,-70,-68,-69,-87,-87,-88,,,
1,1,1,-81,-81,-81,-120,-92,-108,,,,,,,-77,-77,-77,-91,-92,-90,,,
1,1,1,-80,-81,-81,-89,-89,-89,,,,,,,-80,-80,-80,-105,-120,-120,,,
1,1,1,-80,-81,-83,-106,-120,-120,,,,,,,-82,-79,-82,,,,,,
3,3,1,,,,,,,-87,-87,-87,,,,-85,-87,-86,-85,-86,-87,,,
3,3,1,-91,-91,-90,,,,-79,-80,-79,,,,-87,-84,-82,-92,-92,-90,,,
3,3,3,-89,-89,-88,-88,-88,-89,-74,-75,-76,-90,-89,-90,-73,-71,-72,-81,-82,-81,,,
3,3,1,,,,-91,-90,-106,-79,-77,-78,,,,-83,-84,-84,-120,-90,-106,,,
3,3,3,-120,-120,-89,-90,-87,-87,-75,-76,-77,-86,-90,-91,-74,-74,-77,-82,-83,-81,-91,-107,-120
3,3,3,-95,-111,-120,-105,-120,-120,-77,-79,-79,-88,-90,-89,-73,-73,-73,-89,-86,-86,-92,-92,-92
3,3,3,,,,-92,-90,-88,-81,-81,-81,-86,-86,-85,-74,-75,-75,-85,-85,-85,,,
3,3,3,,,,-107,-120,-120,-80,-80,-80,-85,-87,-87,-74,-73,-73,-86,-86,-86,,,
3,3,3,,,,-92,-92,-90,-80,-80,-79,-88,-87,-87,-74,-73,-74,-88,-86,-87,,,
3,3,3,,,,-91,-91,-91,-80,-80,-79,-86,-89,-88,-74,-73,-73,-88,-88,-87,,,
3,3,1,,,,,,,-86,-86,-86,,,,-79,-79,-80,,,,,,
2,2,3,-72,-71,-71,-79,-82,-80,-86,-87,-88,,,,-77,-77,-77,-74,-72,-72,-86,-86,-87
2,2,1,-83,-84,-84,-85,-86,-86,,,,,,,-83,-83,-82,-76,-77,-77,,,
2,2,1,-83,-83,-82,-85,-86,-88,,,,,,,-84,-86,-85,-75,-75,-74,,,
2,2,3,-73,-73,-73,-83,-80,-79,-89,-89,-89,,,,-77,-77,-77,-72,-73,-75,-87,-91,-92
2,2,1,-78,-78,-78,-82,-83,-86,,,,,,,-86,-90,-86,-82,-82,-81,,,
2,2,3,-73,-73,-73,-83,-80,-83,-89,-89,-89,,,,-78,-77,-77,-71,-70,-70,-88,-88,-88
2,2,1,-83,-84,-82,-86,-86,-86,,,,,,,-86,-87,-89,-74,-76,-76,,,
2,2,1,-79,-78,-79,-82,-83,-84,,,,-90,-91,-107,-86,-87,-90,-80,-80,-80,,,
2,2,3,-77,-76,-76,-82,-78,-80,-88,-89,-105,-90,-90,-90,-82,-81,-85,-76,-80,-82,-90,-89,-89
1,1,3,-81,-81,-80,-81,-81,-81,-89,-88,-89,,,,-80,-80,-81,-82,-80,-79,,,
2,2,3,-79,-78,-78,-80,-80,-81,-88,-104,-120,,,,-81,-81,-83,-79,-79,-80,,,
2,2,3,-77,-77,-77,-81,-80,-81,,,,-90,-90,-106,-81,-82,-82,-76,-78,-85,-107,-89,-89
3,4,3,-88,-88,-90,-81,-81,-81,-70,-71,-70,-86,-87,-87,-80,-79,-80,-77,-79,-79,-106,-120,-91
4,4,3,,,,-83,-83,-83,-72,-70,-73,-86,-88,-86,-83,-82,-82,-80,-80,-82,-88,-88,-88
7,4,1,-120,-120,-120,-89,-89,-89,-83,-83,-83,-85,-85,-86,-91,-89,-90,-82,-82,-82,,,
4,4,1,,,,-90,-91,-92,-82,-82,-83,-84,-84,-85,-89,-91,-107,-85,-85,-84,,,
4,4,3,,,,-79,-79,-79,-73,-72,-73,-84,-84,-84,-83,-85,-84,-79,-80,-82,-89,-87,-89
4,4,3,,,,-80,-81,-81,-73,-73,-73,-83,-84,-84,-85,-84,-85,-82,-84,-83,-88,-89,-88
4,4,3,,,,-81,-80,-81,-72,-71,-72,-82,-83,-85,-84,-84,-84,-85,-82,-81,-89,-90,-89
4,4,3,,,,-81,-81,-81,-70,-71,-72,-86,-85,-84,-86,-86,-86,-81,-82,-84,-88,-89,-89
4,4,1,,,,-90,-93,-109,-82,-81,-81,-88,-89,-89,-107,-90,-106,-80,-79,-80,,,
4,4,1,,,,-89,-90,-89,-75,-76,-77,-89,-90,-89,-106,-120,-91,-83,-82,-84,,,
4,4,3,,,,-85,-86,-83,-68,-69,-69,-89,-86,-85,-88,-89,-88,-85,-82,-81,,,
6,6,3,-83,-84,-82,-76,-75,-75,-89,-88,-89,-88,-88,-93,-108,-120,-120,-79,-80,-83,-83,-85,-84
5,6,1,-86,-91,-91,-75,-76,-74,,,,,,,,,,-85,-85,-85,-88,-87,-88
5,6,3,-87,-88,-88,-71,-70,-75,-112,-120,-120,-92,-88,-88,,,,-74,-74,-74,-79,-77,-79
5,6,1,-90,-90,-91,-73,-72,-72,,,,,,,,,,-106,-89,-89,-86,-86,-86
5,5,3,-90,-90,-89,-81,-79,-79,,,,,,,,,,-76,-75,-73,,,
6,6,3,-87,-88,-88,-73,-72,-71,-120,-120,-120,-105,-93,-91,,,,-76,-81,-78,-74,-72,-73
5,6,1,,,,-79,-81,-79,,,,,,,,,,-84,-84,-84,-90,-90,-89
6,6,3,-88,-88,-88,-71,-72,-71,,,,-88,-90,-90,,,,-77,-78,-78,-73,-73,-73
5,6,1,,,,-79,-79,-78,,,,,,,,,,-84,-83,-83,-90,-89,-90
6,6,3,-88,-88,-89,-72,-72,-71,,,,-88,-89,-88,,,,-81,-81,-80,-73,-74,-75
5,6,1,-90,-106,-92,-80,-80,-81,,,,,,,,,,-85,-83,-83,-91,-89,-90
6,6,3,-89,-90,-90,-73,-73,-72,,,,-90,-90,-87,,,,-81,-79,-78,-75,-74,-75
6,6,3,-85,-85,-85,-71,-71,-71,,,,-85,-85,-88,,,,-80,-82,-81,-76,-77,-76
5,6,1,,,,-78,-77,-77,,,,,,,,,,-84,-83,-83,-92,-89,-89
6,6,3,-88,-88,-86,-70,-70,-71,,,,-87,-90,-88,,,,-77,-79,-82,-75,-75,-74
5,6,1,-120,-120,-120,-78,-78,-78,,,,,,,,,,-84,-83,-84,-90,-93,-90
5,6,1,,,,-78,-80,-79,,,,,,,,,,-87,-86,-85,-120,-120,-120
6,6,3,-90,-89,-89,-71,-71,-70,,,,-89,-85,-88,,,,-77,-77,-79,-75,-75,-75
6,6,3,-88,-88,-89,-69,-70,-70,,,,-88,-88,-86,,,,-79,-79,-78,-74,-74,-75
5,6,1,,,,-78,-78,-78,,,,,,,,,,-85,-87,-85,,,
6,6,3,-87,-88,-88,-70,-70,-70,,,,-84,-86,-88,,,,-79,-79,-83,-76,-76,-76
5,6,1,-120,-120,-120,-77,-78,-80,,,,,,,,,,-83,-85,-84,-92,-90,-88
6,6,3,-88,-87,-87,-70,-71,-71,,,,-87,-87,-86,,,,-79,-82,-83,-75,-75,-76
6,6,3,-89,-88,-84,-73,-73,-71,-106,-120,-120,-87,-87,-87,,,,-79,-79,-79,-78,-78,-79
3,3,3,,,,-85,-85,-86,-81,-80,-77,,,,-74,-74,-74,-88,-88,-87,,,
5,6,1,-92,-92,-92,-78,-78,-78,,,,,,,,,,-82,-83,-84,-91,-107,-120
6,6,3,-88,-88,-89,-70,-69,-70,,,,-88,-90,-88,,,,-78,-78,-78,-75,-76,-76
