detected_pump,real_pump,model,1_1,,,1_2,,,2_1,,,2_2,,,3_1,,,3_2,,,3_3,,
1,1,3,-77,-77,-76,-82,-83,-82,,,,,,,-66,-67,-67,-88,-86,-84,-120,-120,-120
1,1,1,-85,-85,-89,-91,-91,-107,,,,,,,-75,-76,-79,-91,-107,-120,,,
1,1,3,-74,-75,-75,-79,-78,-79,-91,-90,-89,,,,-63,-60,-60,-80,-82,-82,,,
1,1,2,-74,-76,-77,-85,-86,-87,,,,,,,-69,-73,-71,-87,-88,-87,,,
1,1,3,-80,-79,-80,-91,-107,-120,,,,,,,-73,-72,-72,-107,-120,-120,,,
1,1,3,-76,-75,-76,-79,-79,-79,-90,-90,-92,,,,-61,-60,-62,-83,-84,-83,,,
1,1,2,-85,-90,-82,-90,-88,-89,,,,,,,-73,-73,-71,-86,-88,-88,,,
1,1,3,-81,-81,-79,-90,-90,-90,,,,,,,-76,-74,-73,-108,-90,-91,,,
1,1,3,-76,-77,-76,-78,-78,-79,-90,-106,-120,,,,-62,-60,-61,-83,-84,-84,,,
1,1,2,-73,-74,-74,-87,-89,-88,,,,,,,-71,-71,-72,-85,-87,-87,,,
1,1,3,-80,-79,-79,-89,-91,-89,,,,,,,-68,-68,-68,-107,-90,-88,-90,-90,-89
1,1,3,-75,-75,-75,-78,-79,-80,-90,-89,-90,,,,-61,-60,-61,-83,-85,-83,,,
1,1,3,-79,-77,-78,-79,-79,-79,-90,-91,-90,-90,-90,-88,-60,-60,-62,-85,-85,-85,,,
1,1,3,-76,-82,-80,-80,-81,-85,,,,,,,-66,-65,-64,-86,-88,-88,-91,-107,-120
1,1,2,-77,-82,-82,-90,-87,-87,,,,,,,-72,-69,-70,-85,-89,-87,,,
1,1,3,-76,-78,-80,-79,-78,-80,-105,-120,-120,,,,-59,-60,-61,-83,-82,-82,,,
1,1,1,-87,-85,-90,-120,-120,-120,,,,,,,-71,-71,-72,-93,-109,-120,,,
1,1,1,-77,-82,-84,,,,,,,,,,-86,-84,-83,,,,,,
1,1,2,-77,-75,-76,-91,-90,-88,,,,-90,-91,-107,-71,-71,-69,-89,-90,-90,,,
1,1,3,-75,-78,-75,-86,-86,-84,-120,-120,-120,,,,-65,-64,-66,-87,-87,-85,,,
1,1,3,-77,-77,-78,-78,-76,-77,-89,-89,-90,,,,-60,-62,-62,-83,-82,-81,,,
1,1,2,-82,-78,-78,-86,-88,-88,,,,,,,-71,-70,-69,-88,-87,-86,,,
1,1,3,-75,-74,-73,-88,-87,-87,,,,,,,-70,-69,-69,-88,-89,-90,,,
1,1,3,-83,-82,-82,-86,-84,-85,,,,,,,-85,-85,-85,-91,-88,-90,,,
1,1,3,-75,-74,-73,-88,-86,-86,,,,,,,-69,-68,-66,-90,-89,-88,,,
1,1,2,-82,-77,-76,-90,-94,-84,,,,,,,-70,-66,-66,-89,-88,-84,,,
1,1,2,-78,-76,-82,-87,-88,-81,,,,-91,-91,-93,-73,-76,-68,-85,-85,-86,,,
1,1,3,-77,-76,-74,-89,-81,-82,,,,,,,-67,-67,-65,-88,-86,-85,-120,-120,-120
1,1,2,-76,-76,-76,-85,-85,-85,,,,,,,-66,-66,-65,-89,-105,-91,,,
1,1,3,-76,-76,-77,-90,-89,-88,,,,,,,-61,-62,-60,-88,-87,-88,,,
1,1,3,-70,-69,-70,-83,-83,-83,-89,-89,-89,-91,-90,-106,-61,-61,-61,-79,-81,-81,-87,-88,-89
1,1,3,-73,-73,-72,-86,-86,-82,,,,,,,-62,-62,-64,-87,-87,-84,,,
1,1,2,-73,-71,-77,-79,-83,-82,,,,,,,-67,-67,-69,-88,-90,-86,,,
1,1,3,-78,-82,-79,,,,,,,,,,-75,-74,-74,-88,-89,-89,,,
1,1,3,-73,-74,-75,-84,-80,-85,-90,-89,-89,-110,-120,-120,-64,-64,-63,-81,-82,-83,-93,-90,-89
1,1,2,-75,-73,-77,-84,-92,-88,,,,,,,-68,-65,-65,-82,-85,-86,,,
1,1,3,-73,-75,-76,-78,-79,-82,,,,,,,-68,-69,-69,-86,-86,-86,-106,-120,-120
1,1,3,-70,-71,-71,-84,-84,-85,-88,-89,-91,,,,-63,-63,-63,-86,-82,-82,-107,-120,-120
1,1,3,-70,-69,-71,-81,-80,-80,,,,,,,-68,-71,-73,-86,-87,-86,,,
1,1,2,-78,-77,-77,-87,-89,-87,,,,,,,-68,-67,-65,-90,-106,-87,,,
1,1,3,-80,-80,-83,-120,-120,-120,,,,,,,-71,-72,-71,-108,-120,-89,,,
1,1,3,-76,-74,-69,-87,-81,-81,-92,-87,-88,-120,-93,-90,-62,-62,-59,-82,-82,-86,-120,-91,-91
1,1,2,-72,-76,-73,-85,-85,-86,,,,,,,-68,-68,-70,-88,-84,-83,,,
1,1,3,-76,-76,-76,-80,-78,-83,,,,,,,-73,-75,-76,-85,-87,-88,,,
1,1,3,-82,-80,-80,-91,-86,-88,,,,,,,-70,-69,-70,-91,-91,-91,,,
1,1,3,-69,-69,-70,-85,-85,-82,-90,-88,-87,-90,-106,-120,-60,-61,-62,-86,-84,-83,-106,-89,-90
1,1,2,-74,-72,-71,-87,-88,-88,,,,,,,-65,-69,-68,-86,-86,-88,,,
1,1,3,-70,-67,-65,-86,-87,-89,-91,-91,-87,,,,-67,-63,-61,-83,-83,-83,,,
1,1,3,-70,-69,-70,-86,-87,-85,-89,-89,-89,-120,-120,-91,-63,-63,-63,-82,-83,-84,,,
1,1,2,-80,-82,-72,-88,-87,-86,,,,,,,-75,-73,-71,-88,-104,-120,,,
1,1,3,-83,-83,-83,-105,-120,-120,,,,,,,-72,-72,-72,-90,-91,-91,,,
1,1,3,-70,-71,-70,-83,-82,-81,-120,-120,-120,,,,-66,-67,-68,-84,-83,-83,-90,-106,-90
1,1,3,-69,-69,-68,-82,-83,-81,-87,-87,-87,,,,-62,-62,-63,-85,-84,-84,,,
1,1,3,-81,-85,-85,-88,-92,-108,,,,,,,-73,-74,-74,-92,-108,-120,,,
1,1,3,-72,-72,-71,-83,-83,-83,,,,,,,-67,-66,-66,-85,-86,-86,-90,-89,-90
1,1,2,-73,-72,-73,-87,-87,-89,,,,,,,-71,-69,-69,-90,-88,-90,,,
1,1,3,-68,-68,-69,-82,-84,-82,-88,-88,-87,,,,-63,-64,-63,-83,-86,-83,,,
1,1,3,-85,-84,-81,-89,-89,-91,,,,,,,-73,-72,-72,-93,-93,-91,,,
1,1,2,-81,-86,-82,-87,-85,-84,,,,,,,-70,-68,-73,-88,-89,-91,,,
1,1,3,-68,-69,-70,-83,-84,-83,,,,,,,-77,-73,-71,-81,-83,-85,-120,-120,-120
1,1,3,-68,-70,-72,-83,-83,-83,-89,-89,-89,,,,-63,-63,-63,-82,-83,-83,-120,-120,-120
1,1,2,-77,-68,-88,-83,-86,-87,,,,-91,-91,-90,-65,-73,-73,-88,-93,-88,,,
3,3,2,,,,,,,-89,-89,-82,,,,-98,-90,-77,-92,-92,-90,,,
1,1,3,-71,-72,-72,-79,-83,-81,,,,,,,-67,-69,-70,-84,-87,-90,-91,-107,-120
1,1,3,-73,-72,-72,-82,-82,-84,-89,-89,-91,,,,-63,-64,-64,-82,-85,-86,,,
1,1,3,-74,-75,-73,-85,-86,-87,-120,-120,-120,-90,-90,-90,-68,-68,-68,-81,-82,-86,,,
1,1,2,-72,-73,-72,-84,-87,-88,,,,,,,-68,-68,-67,-84,-82,-80,,,
1,1,2,-65,-65,-74,-90,-87,-81,,,,,,,-77,-77,-78,-85,-83,-84,,,
1,1,3,-75,-72,-74,-81,-80,-82,,,,,,,-64,-66,-68,-85,-84,-88,,,
1,1,3,-72,-76,-75,-83,-85,-85,,,,,,,-69,-69,-69,-85,-85,-86,-93,-93,-109
3,3,1,,,,,,,-81,-82,-82,,,,-90,-90,-91,,,,,,
1,1,3,-69,-69,-70,-81,-83,-82,-89,-90,-89,-120,-120,-90,-63,-63,-63,-81,-81,-81,-93,-92,-90
1,1,2,-71,-69,-69,-88,-88,-88,,,,,,,-66,-65,-69,-120,-80,-84,,,
1,1,3,-81,-81,-79,-86,-90,-90,,,,,,,-74,-74,-72,-90,-106,-120,,,
1,1,3,-74,-74,-74,-88,-85,-81,,,,,,,-71,-74,-73,-85,-86,-87,,,
1,1,2,-73,-72,-75,-83,-89,-90,,,,,,,-73,-73,-71,-88,-87,-87,,,
1,1,3,-83,-80,-81,-90,-91,-91,,,,,,,-73,-74,-73,-109,-120,-120,,,
1,1,2,-74,-73,-70,-94,-91,-84,,,,,,,-71,-83,-75,-90,-91,-90,,,
1,1,3,-70,-70,-73,-86,-85,-85,,,,,,,-73,-71,-71,-89,-89,-85,-120,-120,-94
1,1,3,-73,-69,-70,-85,-84,-84,-105,-120,-90,-91,-90,-106,-68,-69,-68,-85,-86,-87,-89,-93,-89
1,1,3,-69,-68,-69,-85,-85,-84,-90,-90,-91,-120,-120,-120,-69,-68,-69,-86,-88,-86,-93,-92,-92
1,1,2,-69,-68,-70,-88,-89,-89,,,,-89,-91,-89,-73,-72,-74,-83,-83,-84,,,
1,1,3,-69,-67,-65,-83,-83,-82,-92,-87,-82,-88,-88,-88,-64,-65,-68,-82,-82,-84,-120,-120,-120
1,1,2,-78,-81,-72,-82,-83,-83,,,,-108,-90,-90,-88,-85,-75,-81,-79,-79,,,
1,1,3,-63,-64,-66,-83,-84,-83,-90,-106,-120,,,,-73,-74,-80,-80,-80,-88,,,
1,1,3,-71,-72,-74,-81,-80,-82,-84,-88,-87,-88,-88,-88,-68,-70,-67,-81,-81,-81,-90,-90,-90
1,1,3,-79,-78,-79,-91,-91,-90,,,,,,,-74,-73,-74,-82,-81,-81,,,
1,1,3,-64,-64,-65,-83,-83,-87,,,,,,,-82,-82,-84,-82,-81,-81,,,
1,1,2,-74,-75,-76,-87,-88,-104,,,,,,,-77,-77,-77,-82,-82,-82,,,
1,1,3,-73,-72,-71,-86,-83,-82,-85,-85,-88,-87,-87,-87,-68,-71,-69,-83,-83,-83,-120,-90,-91
1,1,3,-80,-78,-76,-90,-90,-91,,,,,,,-75,-75,-74,-85,-84,-85,,,
1,1,2,-66,-65,-68,-80,-83,-89,,,,-86,-87,-89,-68,-71,-70,-84,-91,-87,-91,-107,-120
1,1,3,-71,-69,-70,-87,-84,-81,-91,-91,-91,-89,-89,-105,-73,-69,-68,-88,-81,-81,-120,-120,-120
1,1,3,-75,-74,-74,-82,-83,-85,-87,-86,-86,-91,-90,-87,-67,-68,-67,-83,-84,-86,-90,-90,-106
1,1,3,-77,-80,-80,-93,-109,-120,,,,,,,-75,-75,-74,-87,-86,-86,,,
1,1,3,-71,-71,-71,-86,-88,-88,-120,-120,-120,,,,-67,-67,-67,-81,-81,-81,,,
1,1,2,-81,-80,-77,-89,-88,-86,,,,-89,-89,-91,-68,-69,-70,-120,-88,-85,,,
1,1,3,-79,-79,-78,-91,-90,-92,,,,,,,-75,-74,-75,-90,-89,-87,,,
1,1,3,-72,-72,-72,-83,-84,-84,-89,-90,-106,,,,-74,-73,-72,-80,-82,-84,,,
1,1,3,-73,-71,-71,-86,-84,-83,-85,-85,-89,-87,-88,-87,-69,-68,-67,-85,-83,-82,-120,-120,-120
1,1,3,-74,-72,-72,-88,-90,-88,,,,-107,-120,-120,-70,-69,-71,-88,-86,-91,-93,-91,-107
1,1,2,-67,-69,-69,-86,-91,-89,,,,-106,-120,-120,-68,-68,-70,-90,-89,-87,,,
1,1,3,-72,-68,-68,-84,-83,-85,-85,-84,-84,-91,-89,-86,-67,-66,-67,-81,-81,-82,,,
1,1,3,-75,-79,-79,-86,-85,-88,-108,-90,-89,-91,-107,-120,-74,-73,-71,-88,-86,-86,,,
1,1,2,-80,-79,-82,-83,-89,-89,,,,-108,-120,-120,-73,-76,-75,-88,-89,-105,,,
1,1,3,-80,-81,-79,,,,,,,,,,-76,-78,-78,-85,-88,-86,,,
1,1,3,-66,-65,-69,-83,-82,-82,-83,-90,-106,-89,-89,-90,-68,-66,-69,-80,-81,-81,-107,-120,-90
1,1,3,-73,-73,-75,-84,-85,-87,-91,-107,-120,-92,-108,-120,-71,-72,-74,-83,-84,-86,-88,-90,-106
1,1,2,-80,-78,-75,-88,-90,-85,,,,,,,-74,-73,-70,-88,-88,-87,,,
1,1,3,-69,-70,-70,-83,-84,-83,-88,-85,-88,-120,-90,-90,-66,-63,-67,-80,-79,-79,-88,-88,-89
1,1,3,-82,-83,-79,-91,-91,-92,,,,,,,-76,-76,-77,-88,-86,-85,,,
1,1,2,-77,-78,-80,-90,-86,-90,,,,,,,-68,-68,-67,-85,-86,-90,,,
3,3,1,,,,,,,-120,-120,-120,,,,-120,-120,-120,,,,,,
1,1,3,-68,-71,-70,-85,-84,-83,-82,-84,-82,-120,-120,-120,-67,-66,-66,-78,-80,-80,-88,-89,-90
1,1,3,-81,-82,-81,-90,-91,-107,,,,,,,-76,-77,-77,-83,-83,-84,,,
1,1,3,-75,-78,-76,-86,-86,-85,-120,-120,-89,,,,-75,-77,-76,-87,-85,-83,-89,-89,-90
1,1,2,-81,-82,-85,-83,-88,-92,,,,,,,-70,-72,-70,-90,-106,-120,,,
1,1,3,-73,-73,-74,-90,-90,-91,,,,,,,-72,-76,-75,-86,-90,-84,-106,-120,-120
1,1,2,-79,-79,-81,-85,-84,-84,,,,,,,-78,-81,-79,-86,-84,-86,-120,-120,-120
1,1,3,-67,-67,-67,-84,-86,-86,-89,-82,-80,,,,-68,-66,-65,-79,-79,-80,-120,-91,-89
1,1,3,-76,-77,-76,-88,-87,-87,-120,-120,-120,,,,-69,-67,-69,-83,-81,-83,,,
1,1,3,-68,-67,-67,-84,-84,-83,-86,-86,-88,-88,-89,-89,-65,-65,-66,-77,-78,-81,-90,-88,-89
1,1,2,-80,-76,-76,-90,-91,-91,,,,,,,-75,-76,-70,-92,-88,-88,-120,-120,-120
7,7,3,,,,-88,-92,-90,-88,-90,-89,-119,-89,-88,,,,-89,-90,-90,,,
3,3,2,,,,-87,-87,-103,-89,-91,-87,-91,-107,-120,-80,-80,-78,-82,-88,-88,,,
3,3,3,-120,-120,-120,-88,-90,-106,-78,-76,-78,-120,-93,-90,-73,-72,-72,-79,-79,-80,,,
3,3,1,,,,,,,-105,-88,-88,,,,-94,-110,-120,,,,,,
3,3,2,-92,-92,-108,-89,-91,-89,-91,-92,-108,-90,-90,-90,-79,-81,-82,-79,-78,-79,,,
3,3,3,-105,-120,-120,-88,-90,-106,-79,-82,-82,-120,-120,-91,-82,-82,-89,-79,-82,-89,,,
3,3,3,,,,-90,-90,-90,-82,-83,-83,-89,-89,-89,-83,-83,-82,-86,-84,-83,,,
5,3,2,-108,-120,-120,-91,-92,-90,-89,-88,-90,-107,-120,-120,-82,-84,-83,-78,-78,-80,,,
2,3,2,-120,-120,-120,-87,-88,-89,-84,-84,-84,-87,-88,-104,-73,-73,-72,-81,-80,-85,,,
3,3,3,-88,-89,-89,-87,-85,-86,-80,-79,-78,-120,-120,-120,-75,-72,-69,-82,-82,-82,,,
3,3,3,-93,-94,-110,-87,-89,-85,-80,-77,-77,-120,-120,-120,-71,-72,-71,-77,-77,-79,,,
3,3,3,,,,-88,-88,-88,-76,-74,-76,-88,-91,-88,-71,-71,-71,-79,-80,-77,,,
3,3,2,,,,-120,-94,-110,-92,-90,-85,-89,-105,-120,-78,-79,-83,-83,-83,-84,,,
3,3,3,,,,-86,-86,-87,-75,-77,-77,-89,-89,-89,-71,-71,-71,-82,-84,-84,,,
3,3,3,-88,-89,-105,-88,-86,-86,-75,-75,-77,-87,-88,-88,-72,-74,-73,-82,-82,-83,,,
3,3,2,-91,-91,-107,-106,-89,-87,-91,-107,-120,-91,-88,-94,-79,-75,-75,-84,-82,-81,,,
3,3,3,-120,-120,-120,-87,-88,-89,-76,-74,-74,-86,-85,-85,-75,-76,-75,-83,-82,-81,,,
3,3,3,-120,-120,-120,-89,-90,-92,-75,-75,-76,-90,-89,-90,-74,-74,-75,-85,-85,-86,,,
3,3,2,-120,-120,-120,-106,-120,-120,-88,-88,-85,-120,-120,-120,-76,-77,-76,-84,-84,-85,,,
3,3,3,,,,-87,-87,-88,-74,-75,-75,-85,-85,-84,-76,-76,-73,-77,-77,-76,,,
3,3,3,,,,-88,-89,-90,-78,-80,-84,-90,-106,-120,-76,-77,-77,-80,-80,-81,,,
5,3,2,,,,-90,-106,-89,-90,-90,-86,,,,-80,-79,-83,-79,-79,-81,,,
2,2,1,-87,-86,-86,-90,-90,-106,,,,,,,,,,-88,-87,-89,,,
3,3,3,-120,-120,-120,-85,-84,-86,-75,-75,-76,-84,-84,-86,-73,-72,-73,-81,-81,-79,,,
3,3,3,,,,-89,-90,-90,-77,-79,-78,-92,-89,-90,-72,-71,-71,-75,-75,-74,,,
3,3,3,,,,-85,-85,-81,-74,-76,-77,-87,-87,-91,-73,-72,-73,-79,-78,-78,,,
3,3,3,-105,-89,-90,-87,-89,-89,-76,-76,-75,-84,-83,-83,-72,-73,-72,-79,-79,-78,,,
3,3,3,-85,-85,-85,-90,-88,-87,-73,-74,-75,-90,-90,-91,-73,-73,-73,-75,-75,-76,,,
2,3,2,-120,-120,-120,-91,-88,-89,-90,-90,-89,,,,-78,-82,-83,-83,-82,-81,,,
3,3,3,-106,-90,-89,-87,-86,-87,-75,-75,-75,-83,-85,-84,-72,-71,-72,-79,-79,-79,,,
3,3,3,-91,-90,-106,-84,-84,-86,-75,-75,-74,-85,-86,-85,-73,-73,-73,-80,-80,-82,-91,-91,-107
3,3,3,-88,-88,-88,-90,-89,-89,-78,-77,-77,-92,-108,-120,-73,-76,-77,-78,-77,-78,,,
5,3,2,-120,-120,-93,-90,-89,-90,-104,-89,-91,-120,-120,-120,-78,-77,-77,-79,-80,-78,,,
3,3,3,-91,-92,-108,-88,-88,-89,-83,-85,-85,-91,-107,-120,-76,-75,-75,-87,-88,-88,,,
3,3,2,,,,-120,-120,-89,-79,-79,-78,-120,-88,-89,-78,-78,-78,-89,-89,-89,,,
3,3,3,-120,-88,-89,-84,-83,-84,-74,-74,-74,-82,-84,-83,-73,-73,-73,-84,-83,-84,,,
3,3,3,-92,-92,-90,-90,-89,-88,-75,-78,-80,-91,-91,-91,-75,-76,-77,-88,-90,-89,,,
4,3,3,-90,-91,-107,-89,-86,-86,-81,-80,-82,-91,-107,-91,-76,-78,-78,-79,-79,-77,,,
3,3,3,-120,-120,-120,-86,-86,-84,-76,-76,-77,-84,-84,-85,-73,-72,-73,-82,-84,-81,,,
1,3,2,-90,-90,-106,-92,-93,-109,-120,-120,-120,-92,-91,-107,-84,-79,-77,-88,-83,-85,,,
3,3,3,-89,-105,-120,-88,-89,-87,-78,-78,-78,,,,-80,-77,-78,-83,-82,-84,,,
3,3,3,-120,-120,-120,-84,-86,-87,-75,-75,-74,-84,-85,-84,-71,-73,-73,-78,-79,-80,,,
3,3,3,-88,-89,-105,-96,-90,-90,-79,-77,-77,,,,-77,-75,-76,-83,-85,-86,,,
3,3,3,-90,-90,-90,-84,-87,-87,-77,-76,-77,-85,-87,-88,-71,-71,-72,-78,-80,-81,,,
3,3,3,-87,-86,-86,-104,-120,-88,-80,-83,-82,,,,-76,-79,-79,-86,-89,-87,,,
3,3,3,-120,-120,-120,-120,-89,-89,-77,-76,-76,-91,-92,-108,-73,-73,-72,-75,-77,-77,,,
3,3,2,-93,-109,-120,-92,-92,-90,-79,-79,-81,-120,-88,-88,-77,-77,-76,-84,-86,-88,,,
6,6,1,,,,-85,-85,-85,,,,,,,,,,,,,-91,-91,-92
3,3,3,-92,-93,-109,-84,-84,-86,-76,-77,-77,-89,-87,-88,-71,-71,-71,-80,-80,-80,,,
3,3,3,-87,-87,-86,,,,-81,-82,-82,,,,-76,-77,-79,-84,-85,-85,,,
3,3,3,,,,-90,-89,-89,-78,-77,-79,-93,-93,-109,-71,-71,-71,-76,-77,-77,,,
3,3,2,,,,-88,-89,-105,-80,-83,-83,-106,-120,-120,-77,-74,-75,-90,-93,-87,,,
3,3,3,-120,-120,-120,-83,-86,-84,-74,-74,-77,-88,-88,-87,-71,-71,-72,-82,-82,-81,,,
3,3,2,,,,-92,-92,-89,-87,-87,-77,-108,-120,-120,-76,-78,-94,-86,-85,-101,,,
3,3,3,-120,-120,-120,-84,-85,-88,-79,-77,-76,-90,-84,-83,-72,-77,-77,-72,-73,-80,,,
3,3,3,-120,-120,-120,-89,-90,-106,-80,-80,-82,-90,-106,-120,-79,-83,-83,-89,-87,-87,,,
3,3,3,,,,-90,-92,-92,-69,-68,-69,-90,-90,-91,-70,-70,-69,-86,-85,-86,,,
3,3,3,-92,-90,-106,-86,-86,-87,-77,-77,-77,-88,-90,-89,-73,-72,-73,-90,-90,-91,,,
3,3,2,,,,,,,-76,-82,-81,-109,-90,-106,-78,-76,-75,-93,-93,-88,,,
3,3,3,,,,-85,-87,-88,-67,-67,-69,-86,-87,-92,-69,-70,-69,-85,-83,-83,,,
3,3,2,,,,-92,-92,-91,-77,-76,-75,-88,-92,-88,-79,-80,-83,-88,-87,-88,,,
3,3,3,-120,-120,-120,-85,-85,-87,-74,-75,-74,-85,-85,-85,-72,-72,-72,-91,-91,-90,,,
3,3,3,-90,-91,-107,-87,-86,-88,-71,-75,-71,-87,-87,-88,-71,-71,-71,-83,-85,-87,,,
3,3,2,-92,-92,-90,-89,-90,-92,-78,-81,-81,-92,-108,-120,-80,-82,-81,-89,-89,-89,,,
3,3,3,-120,-120,-120,-88,-86,-83,-73,-73,-73,-85,-86,-87,-73,-73,-73,-91,-90,-106,,,
3,3,3,-90,-106,-120,-90,-90,-89,-78,-73,-75,-84,-88,-90,-72,-71,-71,-87,-87,-87,,,
3,3,2,,,,,,,-74,-74,-74,-106,-120,-120,-76,-76,-75,-92,-108,-94,,,
3,3,3,,,,-91,-90,-90,-73,-74,-78,-87,-89,-92,-70,-71,-72,-86,-85,-85,,,
3,3,2,,,,,,,-73,-74,-73,-87,-87,-86,-74,-74,-73,,,,,,
3,3,3,-120,-120,-120,,,,-71,-75,-75,-120,-120,-90,-72,-73,-72,-86,-83,-83,,,
3,3,3,,,,-89,-89,-105,-73,-72,-72,-85,-84,-85,-71,-72,-70,-88,-87,-88,,,
3,3,2,-89,-93,-109,-93,-91,-93,-80,-83,-84,-87,-85,-87,-76,-78,-77,-88,-92,-87,,,
3,3,3,,,,-120,-90,-89,-76,-76,-78,-88,-91,-91,-80,-82,-84,-88,-90,-87,,,
3,3,3,,,,-94,-110,-120,-72,-75,-75,-89,-88,-85,-70,-70,-70,-86,-86,-86,,,
3,3,2,,,,-93,-93,-109,-81,-80,-81,-120,-120,-120,-84,-77,-73,-90,-90,-84,,,
3,3,3,,,,,,,-80,-77,-76,,,,-79,-79,-78,-87,-87,-86,,,
3,3,3,,,,-94,-94,-92,-74,-76,-77,-120,-120,-120,-76,-78,-78,-89,-91,-91,,,
3,3,3,,,,-91,-91,-107,-75,-76,-72,-90,-92,-88,-70,-70,-70,-85,-86,-85,,,
3,3,3,-89,-88,-104,,,,-75,-76,-76,-90,-106,-120,-78,-77,-77,-87,-87,-88,,,
3,3,2,-120,-120,-89,,,,-81,-84,-81,-120,-120,-120,-75,-75,-78,-84,-89,-88,,,
3,3,3,,,,-107,-91,-90,-77,-75,-73,-88,-88,-88,-71,-70,-71,-88,-88,-86,,,
3,3,3,-120,-120,-120,-120,-120,-90,-77,-74,-74,-85,-87,-88,-71,-71,-72,-84,-85,-86,,,
3,3,3,,,,-93,-94,-110,-81,-79,-78,-107,-90,-106,-79,-81,-80,-84,-87,-85,,,
3,3,2,-120,-120,-120,,,,-78,-82,-87,-89,-90,-106,-82,-84,-87,-90,-91,-107,,,
3,3,3,,,,-105,-120,-92,-77,-77,-76,-93,-88,-90,-72,-73,-73,-87,-86,-86,,,
3,3,3,,,,-107,-91,-90,-74,-76,-75,-92,-108,-93,-71,-72,-72,-88,-85,-87,,,
3,3,3,,,,-90,-90,-106,-76,-77,-77,-91,-91,-107,-80,-80,-80,-85,-89,-88,,,
3,3,2,,,,-120,-120,-120,-77,-74,-80,-89,-89,-89,-82,-84,-90,-89,-90,-91,,,
3,3,3,-90,-90,-90,-95,-111,-120,-77,-74,-73,-107,-120,-120,-79,-76,-76,-88,-89,-90,,,
3,3,3,,,,-90,-88,-88,-78,-77,-77,-87,-88,-88,-76,-77,-77,-90,-91,-107,,,
3,3,2,,,,,,,-78,-78,-77,-120,-120,-120,-82,-86,-80,-120,-120,-120,,,
3,3,3,,,,-90,-106,-87,-72,-72,-73,-88,-90,-89,-69,-69,-69,-85,-86,-84,,,
3,3,3,-94,-91,-107,-90,-87,-86,-82,-71,-68,-92,-88,-86,-81,-80,-78,-88,-87,-85,-95,-95,-111
3,3,3,-108,-120,-93,-85,-86,-87,-76,-73,-74,-87,-86,-86,-71,-72,-72,-82,-80,-81,-106,-92,-90
3,3,2,-91,-91,-94,,,,-78,-79,-81,-87,-86,-86,-80,-80,-82,-86,-85,-84,,,
3,3,3,-91,-91,-93,-91,-107,-91,-74,-74,-73,-87,-88,-87,-78,-77,-79,-89,-88,-89,,,
6,6,1,,,,-83,-83,-85,,,,,,,,,,,,,-89,-89,-89
3,3,3,-89,-89,-88,-86,-87,-90,-76,-76,-77,-82,-85,-88,-72,-73,-72,-83,-81,-81,-91,-107,-120
3,3,3,-88,-89,-89,-89,-91,-90,-72,-71,-72,-88,-85,-85,-74,-72,-72,-85,-84,-83,,,
3,3,3,-92,-93,-109,-87,-86,-84,-74,-75,-73,-89,-88,-89,-74,-77,-76,-88,-88,-87,,,
3,3,2,,,,-120,-89,-105,-87,-84,-86,-86,-86,-86,-84,-79,-78,-84,-84,-84,,,
3,3,3,-120,-90,-90,-87,-87,-88,-73,-74,-73,-86,-84,-87,-72,-71,-72,-82,-82,-81,,,
3,3,3,,,,-85,-87,-89,-73,-73,-74,-88,-88,-88,-75,-75,-76,-106,-90,-89,,,
3,3,2,,,,-89,-105,-91,-86,-82,-84,-90,-90,-89,-85,-83,-77,-85,-88,-87,,,
3,3,3,-88,-86,-87,-105,-91,-107,-81,-80,-81,-90,-90,-106,-80,-79,-78,-87,-84,-85,,,
3,3,3,-91,-90,-92,-88,-88,-90,-75,-76,-76,-84,-84,-87,-71,-72,-73,-82,-83,-81,-120,-92,-91
3,3,3,-91,-91,-90,-89,-89,-89,-83,-86,-86,-108,-120,-120,-78,-78,-78,-87,-87,-87,,,
3,3,3,-89,-105,-120,-88,-86,-88,-82,-82,-79,-120,-120,-120,-84,-82,-82,-86,-86,-86,,,
3,3,2,,,,,,,-75,-76,-75,-89,-89,-90,-87,-87,-82,-88,-88,-88,,,
2,2,1,-85,-86,-86,-90,-106,-120,,,,,,,,,,-88,-88,-90,,,
3,3,3,-89,-89,-88,-89,-89,-89,-75,-74,-74,-86,-86,-87,-76,-74,-73,-81,-82,-83,,,
3,3,3,,,,-120,-120,-90,-80,-81,-81,,,,-80,-79,-79,-89,-87,-85,,,
3,3,3,-89,-90,-89,-87,-89,-93,-82,-78,-83,,,,-83,-84,-84,-86,-86,-89,,,
3,3,2,,,,,,,-80,-78,-78,-104,-88,-91,-82,-85,-79,-101,-89,-90,,,
3,3,3,-88,-90,-92,-89,-88,-88,-72,-72,-72,-89,-89,-89,-76,-72,-72,-82,-83,-83,,,
3,3,3,-120,-90,-89,-91,-91,-90,-78,-80,-82,,,,-84,-83,-83,-88,-88,-86,,,
3,3,2,,,,-88,-87,-87,-82,-82,-81,-90,-88,-88,-78,-78,-76,-88,-88,-88,,,
3,3,3,-91,-107,-88,-85,-85,-85,-77,-78,-78,,,,-74,-74,-74,-91,-91,-87,,,
3,3,3,-93,-93,-89,-87,-88,-90,-74,-74,-73,-88,-90,-91,-74,-72,-73,-83,-83,-82,,,
